Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2024-08-27,2.300,2.300,2.180,2.260,5961212
HNU,Ex:TSE | Src:Google,2024-08-28,2.200,2.380,2.150,2.310,7020097
HNU,Ex:TSE | Src:Google,2024-08-29,2.160,2.400,2.130,2.390,7454578
HNU,Ex:TSE | Src:Google,2024-08-30,2.360,2.410,2.280,2.350,5393491
HNU,Ex:TSE | Src:Google,2024-09-03,2.310,2.570,2.240,2.540,6398433
HNU,Ex:TSE | Src:Google,2024-09-04,2.570,2.610,2.360,2.390,5178622
HNU,Ex:TSE | Src:Google,2024-09-05,2.490,2.690,2.490,2.640,7669737
HNU,Ex:TSE | Src:Google,2024-09-06,2.660,2.710,2.590,2.700,3516325
HNU,Ex:TSE | Src:Google,2024-09-09,2.550,2.550,2.410,2.410,7687460
HNU,Ex:TSE | Src:Google,2024-09-10,2.550,2.590,2.480,2.560,6240056
HNU,Ex:TSE | Src:Google,2024-09-11,2.590,2.680,2.550,2.610,4231933
HNU,Ex:TSE | Src:Google,2024-09-12,2.560,2.790,2.540,2.730,5836679
HNU,Ex:TSE | Src:Google,2024-09-13,2.740,2.760,2.610,2.620,4716703
HNU,Ex:TSE | Src:Google,2024-09-16,2.590,2.770,2.570,2.740,4019064
HNU,Ex:TSE | Src:Google,2024-09-17,2.820,2.840,2.660,2.660,3817828
HNU,Ex:TSE | Src:Google,2024-09-18,2.740,2.740,2.570,2.590,5844802
HNU,Ex:TSE | Src:Google,2024-09-19,2.520,2.660,2.470,2.660,5184464
HNU,Ex:TSE | Src:Google,2024-09-20,2.650,2.950,2.630,2.930,7217422
HNU,Ex:TSE | Src:Google,2024-09-23,3.000,3.210,2.990,3.210,7700047
HNU,Ex:TSE | Src:Google,2024-09-24,3.140,3.200,3.010,3.100,6709585
HNU,Ex:TSE | Src:Google,2024-09-25,3.170,3.200,3.060,3.120,5290584
HNU,Ex:TSE | Src:Google,2024-09-26,3.170,3.180,2.920,2.970,5245355
